Timestamp,IntegerValue1,IntegerValue2,String1,String2,BooleanValue1,BooleanValue2,DecimalValue1,DecimalValue2,String3,IntegerValue3,Timestamp2
2023-12-18 09:00:34,594,1404,Item_0,Category_4,True,False,64.67,920.63,Code_8782,6754,2022-03-18 20:21:28
2024-12-14 08:56:30,690,1287,Item_1,Category_5,True,False,20.2,891.14,Code_3692,7700,2023-09-10 03:12:33
2022-10-20 21:18:52,130,1634,Item_2,Category_1,False,True,46.51,121.55,Code_6733,8618,2024-07-07 03:37:49
2024-06-26 03:59:29,986,1818,Item_3,Category_2,True,True,35.07,581.19,Code_8008,7849,2023-05-18 22:33:56
2022-09-03 21:45:12,632,1321,Item_4,Category_5,True,True,54.82,503.99,Code_8001,7456,2023-04-24 23:02:53
2022-01-13 04:58:05,235,1859,Item_5,Category_5,True,False,43.37,112.69,Code_9189,8572,2023-12-08 20:24:38
2022-08-01 15:21:39,187,1179,Item_6,Category_2,True,False,69.86,378.43,Code_7835,7528,2024-12-27 02:09:16
2022-10-07 09:52:34,628,1319,Item_7,Category_4,False,False,17.74,597.64,Code_2769,5743,2022-04-19 00:20:36
2022-11-19 16:02:06,586,1383,Item_8,Category_5,True,False,93.37,831.91,Code_3387,8790,2023-12-25 16:47:07
2023-08-01 18:21:35,291,1759,Item_9,Category_2,False,True,53.83,684.17,Code_5570,8873,2023-02-02 01:50:18
2023-09-05 04:42:24,934,1472,Item_10,Category_2,True,True,20.46,986.26,Code_1885,7193,2024-02-14 21:32:13
2024-03-31 17:44:25,489,1806,Item_11,Category_2,False,True,71.34,657.77,Code_8780,5084,2022-06-22 19:56:14
2022-10-11 23:56:10,864,1939,Item_12,Category_1,True,False,26.74,967.19,Code_9002,7046,2022-06-12 11:51:58
2022-06-28 12:08:54,389,1507,Item_13,Category_5,True,True,23.65,822.01,Code_4098,6457,2022-10-30 03:50:42
2024-05-03 17:43:41,188,1763,Item_14,Category_1,True,False,81.34,666.27,Code_9156,6003,2022-10-31 00:31:51
2024-01-11 01:40:51,563,1374,Item_15,Category_4,True,False,81.06,993.25,Code_7758,5821,2024-02-28 11:33:50
2024-07-31 13:54:38,781,1750,Item_16,Category_2,True,False,54.42,770.45,Code_9833,5446,2023-07-31 04:23:03
2023-03-09 16:18:20,378,1661,Item_17,Category_1,True,False,76.41,878.1,Code_1796,8103,2022-12-30 00:34:06
2023-09-13 18:47:52,108,1327,Item_18,Category_3,False,True,62.75,644.67,Code_7307,8027,2022-09-12 02:39:47
2022-04-16 07:59:00,13,1501,Item_19,Category_1,True,False,45.06,604.74,Code_3985,9242,2024-09-18 14:04:11
2023-05-24 10:00:38,941,1115,Item_20,Category_2,False,True,52.62,605.23,Code_1129,8693,2024-04-30 21:32:52
2024-08-05 17:24:01,627,1588,Item_21,Category_2,True,False,63.95,286.64,Code_9982,6791,2022-06-01 08:40:19
2023-03-07 20:12:50,152,1065,Item_22,Category_4,True,False,20.81,440.63,Code_3828,6436,2023-09-08 22:30:53
2023-12-28 22:00:11,159,1574,Item_23,Category_2,True,False,42.42,388.97,Code_4034,8925,2024-08-09 01:26:29
2022-05-27 15:21:02,981,1222,Item_24,Category_1,True,True,37.97,232.7,Code_8947,7889,2024-07-09 14:26:52
2022-07-26 19:56:34,377,1426,Item_25,Category_5,True,True,57.01,322.92,Code_6298,6563,2022-06-12 20:09:35
2022-10-04 20:46:18,685,1401,Item_26,Category_4,False,True,93.53,283.49,Code_2188,8058,2022-10-18 23:22:45
2023-04-24 05:17:28,125,1845,Item_27,Category_5,True,True,93.17,672.37,Code_2199,5576,2024-08-24 20:12:07
